label	total	conns	offered	applied	rtt50	rtt99	rttmax	cmt_mean	cmt_p99	q_p50	q_p99	gwclu_p50	maxinf	cpu
warmup	75000	201	74999	66037	50	99	42624	198.799	328.703	1.030	2404.351	475.391	12	.47
smoke2	75000	201	74999	65899	902	14233	41186	198.833	322.303	0.980	1063.935	513.279	15	.44
L15000-a	15000	201	15001	12999	952	1715	28038	214.618	352.255	0.791	53.503	594.943	2	.30
L15000-b	15000	201	15001	13326	1055	1841	26275	217.905	358.143	0.830	137.343	608.255	1	.30
L15000-c	15000	201	15001	13022	1220	2012	39547	220.609	365.311	0.820	99.263	727.551	1	.30
L45000-a	45000	201	45003	38054	870	1284	33458	208.378	350.463	0.711	95.935	514.815	7	.37
L45000-b	45000	201	45003	39718	1426	1974	29488	224.514	367.615	0.710	89.599	986.111	6	.34
L45000-c	45000	201	45003	39438	1439	2020	36169	226.410	367.871	0.709	177.151	991.231	8	.33
L75000-a	75000	201	74999	64131	916	20871	35403	203.546	338.431	1.391	2303.999	496.639	13	.45
L75000-b	75000	201	74999	66518	1165	2155	42318	217.911	353.791	0.830	151.167	692.735	15	.38
L75000-c	75000	201	74999	65093	891	17223	44266	197.692	329.727	0.800	5554.175	488.447	16	.45
W60-a	75000	60	75000	66723	9644	29360	40955	185.548	309.759	0.850	68.991	425.727	36	.55
W60-b	75000	60	75000	65703	10577	30051	45179	186.053	308.991	0.780	66.175	427.007	38	.55
W60-c	75000	60	75000	66248	10110	29147	47390	184.723	308.991	0.790	70.143	423.679	43	.55
W402-a	75000	402	74999	66244	1648	2573	67698	226.283	428.287	2.901	497.151	912.895	12	.36
W402-b	75000	402	74999	66135	1544	2461	68171	227.444	441.343	1.240	651.775	843.775	12	.37
W402-c	75000	402	74999	62771	1399	2103	73043	214.462	424.959	0.930	651.263	922.623	13	.40
W804-a	75000	804	75013	66293	2375	4132	123066	225.367	492.287	14.375	1503.231	1337.343	11	.40
W804-b	75000	804	75013	66585	2421	4331	121601	222.361	488.959	29.423	2193.407	1399.807	11	.37
W804-c	75000	804	75013	62782	2246	4423	148747	218.583	447.743	12.007	1499.135	1181.695	13	.40
SEMwarm	75000	402	74999	64808	1580	55221	183893	221.102	414.463	1.780	702.463	998.399	17	.39
SEM256-a	75000	402	74999	65379	1364	10495	94294	209.665	366.335	1.140	562.175	663.551	16	.43
SEM256-b	75000	402	74999	63705	1544	2551	68824	219.828	413.439	1.689	518.911	904.191	12	.39
SEM256-c	75000	402	74999	63232	1399	2378	90074	214.471	367.359	1.840	458.495	691.199	16	.41
SEMw2	75000	402	74999	62102	1039740	10670612	12213279	196.954	325.631	1.280	90.239	452.095	2148	.53
SEM16-a	75000	402	74999	61976	617572	10138456	12303670	197.795	326.911	1.120	88.319	456.191	2109	.54
SEM16-b	75000	402	74999	62315	322401	9405880	11283991	197.640	327.167	1.270	79.999	455.423	1766	.54
SEM16-c	75000	402	74999	61563	459239	9972364	11843966	197.305	326.911	1.380	86.591	456.447	1976	.54
R45warm	45000	402	45010	38320	1727	14038	172076	256.360	483.583	0.990	890.367	1059.839	12	.33
W402L45-a	45000	402	45010	38095	1727	2749	177031	224.737	409.343	0.880	732.159	851.967	6	.35
W402L45-b	45000	402	45010	39627	1699	2490	57978	223.617	398.335	1.310	597.503	908.799	6	.35
W402L45-c	45000	402	45010	40178	1576	96779	467345	220.381	389.631	0.900	663.039	745.983	7	.36
