accountId,counterpartyId,nettingSetId,currency
10031,CPTY-ALPHA-CAP,NS-ALPHA-ISDA-01,USD
11413,CPTY-BLUECREST-SEC,NS-BLUE-ISDA-01,USD
17017,CPTY-HARBOUR-TSY,NS-HARB-ISDA-01,USD
22214,CPTY-CASCADE-AM,NS-CASC-ISDA-01,USD
42422,CPTY-DELTA-PRIME,NS-DELT-ISDA-01,USD
44044,CPTY-EVERGREEN-TRD,NS-EVER-ISDA-01,USD
52355,CPTY-FIRTH-PARTNERS,NS-FRTH-ISDA-01,USD
62654,CPTY-GRANITE-HOLD,NS-GRAN-ISDA-01,USD
900001,CPTY-TAPE-REPLAY-01,NS-REPLAY-01,USD
900002,CPTY-TAPE-REPLAY-02,NS-REPLAY-02,USD
900003,CPTY-TAPE-REPLAY-03,NS-REPLAY-03,USD
