ticker,type,underlying,expiry,callPut,strike,multiplier,currency
AAPL,equity,,,,,1,USD
MSFT,equity,,,,,1,USD
AAPL260918C00220000,option,AAPL,2026-09-18,C,220.000,100,USD
AAPL260918P00220000,option,AAPL,2026-09-18,P,220.000,100,USD
AAPL260918C00240000,option,AAPL,2026-09-18,C,240.000,100,USD
AAPL260918P00240000,option,AAPL,2026-09-18,P,240.000,100,USD
AAPL260918C00260000,option,AAPL,2026-09-18,C,260.000,100,USD
AAPL260918P00260000,option,AAPL,2026-09-18,P,260.000,100,USD
AAPL261218C00220000,option,AAPL,2026-12-18,C,220.000,100,USD
AAPL261218P00220000,option,AAPL,2026-12-18,P,220.000,100,USD
AAPL261218C00240000,option,AAPL,2026-12-18,C,240.000,100,USD
AAPL261218P00240000,option,AAPL,2026-12-18,P,240.000,100,USD
AAPL261218C00260000,option,AAPL,2026-12-18,C,260.000,100,USD
AAPL261218P00260000,option,AAPL,2026-12-18,P,260.000,100,USD
MSFT260918C00370000,option,MSFT,2026-09-18,C,370.000,100,USD
MSFT260918P00370000,option,MSFT,2026-09-18,P,370.000,100,USD
MSFT260918C00390000,option,MSFT,2026-09-18,C,390.000,100,USD
MSFT260918P00390000,option,MSFT,2026-09-18,P,390.000,100,USD
MSFT260918C00410000,option,MSFT,2026-09-18,C,410.000,100,USD
MSFT260918P00410000,option,MSFT,2026-09-18,P,410.000,100,USD
MSFT261218C00370000,option,MSFT,2026-12-18,C,370.000,100,USD
MSFT261218P00370000,option,MSFT,2026-12-18,P,370.000,100,USD
MSFT261218C00390000,option,MSFT,2026-12-18,C,390.000,100,USD
MSFT261218P00390000,option,MSFT,2026-12-18,P,390.000,100,USD
MSFT261218C00410000,option,MSFT,2026-12-18,C,410.000,100,USD
MSFT261218P00410000,option,MSFT,2026-12-18,P,410.000,100,USD
